fileName,,average_h,average_s,average_v
1.1.jpg,1.1,134.4274845,29.23026504,39.7811085
1.2.jpg,1.2,133.9441543,29.09468459,39.73428669
1.3.jpg,1.3,133.9441543,29.09468459,39.73428669
1.4.jpg,1.4,133.8134023,29.12415815,39.83084487
1.5.jpg,1.5,133.9368836,29.21355149,39.84957097
1.6.jpg,1.6,125.3934103,21.76801186,39.34991153
1.7.jpg,1.7,125.7837269,21.66712493,39.41234921
10.1.jpg,10.1,142.5252402,13.53289952,97.7343746
10.2.jpg,10.2,142.3633274,13.93090818,97.50876232
10.3.jpg,10.3,142.2297001,13.88294324,97.40790752
10.4.jpg,10.4,142.5017241,13.80566025,97.46944103
10.5.jpg,10.5,142.4328823,13.73372805,97.41555848
10.6.jpg,10.6,144.3163795,12.02276546,97.30098784
10.7.jpg,10.7,144.8474656,12.08974636,97.24279438
11.1.jpg,11.1,123.5290216,20.76454893,68.54630086
11.2.jpg,11.2,125.2823493,14.26657818,95.1483083
11.3.jpg,11.3,129.1386632,11.97114304,133.2049867
11.4.jpg,11.4,129.3573742,9.860645633,182.7465067
11.5.jpg,11.5,146.7886271,9.228395895,249.5171573
11.6.jpg,11.6,0,0,254
12.1.jpg,12.1,102.8416656,16.35271355,118.8522226
12.2.jpg,12.2,97.4552813,11.31430603,162.9536015
12.3.jpg,12.3,93.30987558,8.69443746,221.9093793
12.4.jpg,12.4,118.7417953,2.159313193,254.0005289
13.1.jpg,13.1,107.3960138,17.42455119,91.0269643
13.2.jpg,13.2,104.203572,12.1610831,125.2933847
13.3.jpg,13.3,104.4524616,12.25968742,124.9034922
13.4.jpg,13.4,94.21677102,7.501918171,232.6704449
13.5.jpg,13.5,0,0,253.9999855
14.1.jpg,14.1,98.93745443,22.45377435,52.23138741
14.2.jpg,14.2,128.2777945,23.33372111,52.43586272
14.3.jpg,14.3,130.2839898,15.8027829,73.82953822
14.4.jpg,14.4,128.1674384,11.3075486,103.4354521
14.5.jpg,14.5,126.9058757,8.213686565,142.9279724
14.6.jpg,14.6,126.5517411,6.94128062,195.2355358
14.7.jpg,14.7,121.2652255,5.744690863,253.7811254
2.1.jpg,2.1,137.0586959,18.65956879,56.69307985
2.2.jpg,2.2,137.0586959,18.65956879,56.69307985
2.3.jpg,2.3,136.1878323,18.69053953,56.87705007
2.4.jpg,2.4,136.1162146,18.60409791,56.8287166
2.5.jpg,2.5,135.8496676,18.5245902,56.68880089
2.6.jpg,2.6,135.0060119,18.67471465,57.15508704
2.7.jpg,2.7,134.0813016,20.70768488,57.43850519
3.1.jpg,3.1,132.6396509,12.93762627,80.07636904
3.2.jpg,3.2,132.3169929,12.72223051,80.11074416
3.3.jpg,3.3,132.4042407,12.64900555,79.78896466
3.4.jpg,3.4,132.4042407,12.64900555,79.78896466
3.5.jpg,3.5,132.1742035,12.66565137,79.72158914
3.6.jpg,3.6,131.9377634,12.70007939,79.97867449
3.7.jpg,3.7,131.4991838,12.68034433,79.87272607
4.1.jpg,4.1,131.6375464,9.553780866,111.0868264
4.2.jpg,4.2,128.8286044,9.602797534,111.532074
4.3.jpg,4.3,131.6044971,9.367470676,110.5841748
4.4.jpg,4.4,131.0655402,9.342262316,110.4289215
4.5.jpg,4.5,131.2986034,9.363436948,110.6948965
4.6.jpg,4.6,142.0269626,12.12236128,112.1853033
4.7.jpg,4.7,142.1350251,12.2304025,112.2012627
5.1.jpg,5.1,129.4986757,6.992558842,152.8933877
5.2.jpg,5.2,129.2572124,7.051878458,152.8100427
5.3.jpg,5.3,130.340087,7.169368653,153.5461818
5.4.jpg,5.4,129.2639081,9.272763995,153.9936912
5.5.jpg,5.5,129.178608,9.232797525,154.0235895
5.6.jpg,5.6,144.5483638,10.18136014,155.6142958
5.7.jpg,5.7,144.1289529,10.19524135,155.1338596
6.1.jpg,6.1,128.1299192,9.372350686,211.2766309
6.2.jpg,6.2,128.5744553,9.282750404,211.0755127
6.3.jpg,6.3,128.2728168,9.431450742,211.3320985
6.4.jpg,6.4,144.4842654,9.714280299,211.5477101
6.5.jpg,6.5,144.2531628,9.768178128,211.6182145
6.6.jpg,6.6,144.2270309,9.770467884,210.9307806
6.7.jpg,6.7,144.2013957,9.768360623,211.1529961
7.1.jpg,7.1,145.5108132,6.936301727,254.0042748
7.2.jpg,7.2,145.9839935,6.148396855,254.0008373
7.3.jpg,7.3,146.0548133,6.297897456,254.0014259
7.4.jpg,7.4,146.0733013,6.39557692,254.0021957
7.5.jpg,7.5,145.9281134,6.371451104,254.0030642
7.6.jpg,7.6,145.2400909,7.040836499,254.0038471
7.7.jpg,7.7,144.7606526,6.43370647,254.0009746
8.1.jpg,8.1,129.8162857,6.808446053,185.4357167
8.2.jpg,8.2,129.1310638,6.767965833,184.9421642
8.3.jpg,8.3,129.2969496,6.723501431,184.7759452
8.4.jpg,8.4,127.7500881,6.771301119,184.6747782
8.5.jpg,8.5,127.5851905,6.928085446,184.5359479
8.6.jpg,8.6,148.2531855,7.919657314,184.137643
8.7.jpg,8.7,148.7099233,7.884672506,184.0282144
9.1.jpg,9.1,143.9874913,10.5671435,136.0555081
9.2.jpg,9.2,143.4408514,10.57632167,135.905731
9.3.jpg,9.3,142.815059,10.66604206,135.7213131
9.4.jpg,9.4,143.2498081,10.51723201,136.2720779
9.5.jpg,9.5,143.2721822,10.53803255,135.9626677
9.6.jpg,9.6,146.7328711,9.22625161,135.0798486
9.7.jpg,9.7,146.0873693,9.252691137,134.7427289
